Year,Category,Nominee,Female,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Winner,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Win_BAFTA,Nom_BAFTA,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_supportingacting,Nom_GoldenGlobe_supportingacting,Win_Criticschoice,Nom_Criticschoice,Win_SAG_acting,Nom_SAG_acting,Win_SAG_bestcast,Nom_SAG_bestcast,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Rating_IMDB,Rating_rtaudience,Rating_rtcritic,Genre_action,Genre_adventure,Genre_comedy,Genre_crime,Genre_biography,Genre_drama,Genre_fantasy,Genre_sci-fi,Genre_music,Genre_mystery,Genre_romance,Genre_history,Genre_thriller,Genre_sport,Genre_family,Genre_war,Genre_filmnoir,Genre_western
1962,Actor,Stuart Whitman,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.5,78,85.07044831,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1962,Actress,Piper Laurie,1,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,93,98,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1962,Actress,Sophia Loren,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,91,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1962,Actress,Audrey Hepburn,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.7,91,88,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1962,Actress,Natalie Wood,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8,90,85,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1962,Actress,Geraldine Page,1,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.9,60,85.07044831,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1962,Supporting Actor,Montgomery Clift,0,0,0,0,11,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.3,93,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1962,Supporting Actor,Jackie Gleason,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,93,98,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1962,Supporting Actor,George C. Scott,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,93,98,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1962,Supporting Actor,George Chakiris,0,0,0,1,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6,84,94,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
