Category,Film,Nominee,Winner,Year,Rating_IMDB,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Win_GoldenGlobe_bestdirector,Win_BAFTA,Win_DGA,Nom_GoldenGlobe_bestdirector,Nom_BAFTA,Nom_DGA,Oscarstat_previouswins_bestdirector,Oscarstat_previousnominations_bestdirector,Nom_Oscar_bestfilm,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_western,Genre_thriller,Genre_sport,Genre_family,Genre_action,Genre_adventure
Director,The Professionals,Richard Brooks,0,1967,7.4,82,93,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Director,A Man and a Woman,Claude Lelouch,0,1967,7.7,87,77,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Who's Afraid of Virginia Woolf?,Mike Nichols,0,1967,8.1,91,95,13,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,The Graduate,Mike Nichols,1,1968,8,90,89,7,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,In Cold Blood,Richard Brooks,0,1968,8,88,91,4,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,In the Heat of the Night,Norman Jewison,0,1968,8,92,95,7,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Director,Guess Who's Coming to Dinner,Stanley Kramer,0,1968,7.8,85,68,10,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Bonnie and Clyde,Arthur Penn,0,1968,7.9,88,88,10,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Director,Oliver!,Carol Reed,1,1969,7.5,81,81,12,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Director,The Lion in Winter,Anthony Harvey,0,1969,8.1,90,91,7,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,2001: A Space Odyssey,Stanley Kubrick,0,1969,8.3,89,94,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Director,The Battle of Algiers,Gillo Pontecorvo,0,1969,8.1,95,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Romeo and Juliet,Franco Zeffirelli,0,1969,7.6,74,97,8,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Midnight Cowboy,John Schlesinger,1,1970,7.9,88,90,7,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Z,Costa Gavras,0,1970,8.2,93,95,5,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,Butch Cassidy and the Sundance Kid,George Roy Hill,0,1970,8.1,92,89,6,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
