Category,Film,Nominee,Winner,Year,Rating_IMDB,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Nom_Oscar_bestdirector,Nom_DGA,Nom_BAFTA,Win_DGA,Win_BAFTA,Nom_GoldenGlobe_bestcomedy,Nom_GoldenGlobe_bestdrama,Win_GoldenGlobe_bestcomedy,Win_GoldenGlobe_bestdrama,Genre_action,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western,Win_Criticschoice,Nom_Criticschoice,Win_SAG_bestcast,Nom_SAG_bestcast,Win_PGA,Nom_PGA
Picture,Doctor Zhivago,Doctor Zhivago,0,1966,8,88,82,10,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Ship of Fools,Ship of Fools,0,1966,7.2,80,81,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Picture,A Thousand Clowns,A Thousand Clowns,0,1966,7.6,91,69,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,A Man for All Seasons,A Man for All Seasons,1,1967,7.9,87,82,8,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Alfie,Alfie,0,1967,7.1,76,100,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,"The Russians Are Coming, the Russians Are Coming","The Russians Are Coming, the Russians Are Coming",0,1967,7.1,75,84,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Sand Pebbles,The Sand Pebbles,0,1967,7.7,88,93,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Picture,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,0,1967,8.1,91,95,13,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,In the Heat of the Night,In the Heat of the Night,1,1968,8,92,95,7,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Bonnie and Clyde,Bonnie and Clyde,0,1968,7.9,88,88,10,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Doctor Dolittle,Doctor Dolittle,0,1968,6.2,57,32,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Picture,The Graduate,The Graduate,0,1968,8,90,89,7,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,0,1968,7.8,85,68,10,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Oliver!,Oliver!,1,1969,7.5,81,81,12,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Picture,Funny Girl,Funny Girl,0,1969,7.5,85,93,7,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Lion in Winter,The Lion in Winter,0,1969,8.1,90,91,7,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,"Rachel, Rachel","Rachel, Rachel",0,1969,7.5,78,86,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Romeo and Juliet,Romeo and Juliet,0,1969,7.6,74,97,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Midnight Cowboy,Midnight Cowboy,1,1970,7.9,88,90,7,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Anne of the Thousand Days,Anne of the Thousand Days,0,1970,7.6,84,42,10,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
